ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
2408,347.16,64.54,539.34,21.01,21.11,74.67
2424,435.8,71.66,518.6,30.21,18.43,78.02
2426,433.43,74.74,508.19,32.45,19.96,86.15
2429,397.54,68.99,481.13,41.52,18.5,85.41
2436,453.52,68.7,520.07,34.7,19.02,84.65
2439,529.59,69.97,527.92,32.68,20.34,84.66
2456,528.46,67.2,483.34,27.44,20.04,76.33
2461,528.55,66.35,516.57,33.99,18.55,76.19
2477,386.24,75.99,555.74,35.74,18.68,82.89
2499,327.98,64.54,465.77,25.71,19.72,66.98
2508,490.0,66.43,452.62,25.94,17.2,78.43
2527,568.21,70.12,498.12,20.52,19.86,85.06
2530,443.97,65.95,529.87,38.37,20.89,96.06
2534,354.36,69.48,508.16,36.9,20.98,89.07
2542,363.19,67.76,452.11,22.48,17.9,63.82
2552,323.35,62.96,538.15,40.4,20.84,82.86
2564,358.89,67.45,463.8,27.79,18.93,78.56
2570,495.82,63.62,506.24,24.79,18.88,80.57
2575,475.95,68.59,510.85,18.91,18.65,79.96
2585,420.55,58.57,497.6,41.84,19.03,74.51
2588,444.51,67.52,510.01,23.1,21.85,80.64
2591,378.55,62.24,528.22,39.07,19.95,73.66
2596,443.57,65.24,519.87,12.15,19.81,76.79
2610,380.2,72.02,458.89,33.55,17.89,81.27
2613,479.62,74.24,485.06,24.9,19.48,81.93
2620,359.9,67.86,480.88,37.64,20.37,85.94
2623,449.35,73.64,529.1,26.97,16.7,81.72
2634,567.8,64.89,448.9,37.79,20.45,92.08
2636,648.22,58.99,532.89,28.17,19.61,70.06
2657,476.6,66.14,493.8,29.87,23.1,84.49
2675,439.89,66.67,430.01,39.41,20.17,78.21
2683,315.23,54.01,458.25,29.75,22.71,81.58
2689,478.07,71.25,524.35,27.14,23.48,81.4
2716,487.28,61.92,486.49,21.74,22.51,78.68
2722,478.3,62.56,541.73,34.55,18.25,81.52
2729,423.49,64.45,478.36,37.68,20.16,74.2
2782,528.17,63.74,451.29,26.48,20.4,70.79
2787,290.84,70.19,531.62,28.57,18.47,72.24
2800,357.13,70.71,527.82,24.09,21.79,79.4
2811,463.92,72.63,514.8,30.9,20.81,79.4
2844,328.12,74.36,614.61,22.26,19.03,78.97
2866,389.46,72.82,542.19,16.99,17.16,74.13
2873,354.43,62.55,560.09,43.86,22.66,100.94
2886,443.09,62.34,452.08,38.65,21.22,80.65
2917,443.35,62.96,513.35,32.2,22.2,65.36
2931,375.99,68.88,498.64,22.52,22.92,91.7
2944,527.07,70.16,525.76,32.5,18.74,87.27
2947,310.4,68.96,576.36,29.8,18.84,73.44
2949,482.24,63.83,461.1,41.56,17.37,76.08
2986,446.7,63.61,520.81,25.96,18.57,71.23
2999,562.91,64.11,468.44,29.41,17.14,80.8
3006,454.99,69.81,512.74,23.91,20.12,88.96
3012,424.73,69.99,474.95,35.87,19.73,73.73
3014,509.28,59.15,489.75,34.76,19.27,83.47
3019,447.82,60.56,563.12,33.3,19.8,89.5
3026,356.48,66.41,527.71,25.71,22.55,76.74
3032,394.5,68.27,535.3,30.51,21.86,81.37
3053,383.24,62.99,508.79,34.47,18.66,84.33
3058,457.7,69.01,427.15,18.78,21.25,73.08
3086,441.19,67.45,536.94,28.12,21.77,77.66
3090,374.44,67.2,531.67,38.04,19.24,86.43
3092,318.29,68.38,468.41,25.6,22.2,82.55
3099,400.55,67.83,558.1,26.57,20.19,80.14
3135,319.05,69.38,559.52,30.66,21.63,85.53
3143,297.32,78.61,473.92,24.91,19.73,76.51
3152,435.47,66.96,495.7,29.76,21.08,82.54
3155,358.96,65.51,522.74,32.71,20.57,91.56
3159,396.58,69.14,473.8,31.44,18.45,69.44
3177,541.26,74.52,444.6,21.37,17.36,82.59
3181,321.89,67.7,546.49,28.94,17.19,81.2
3184,563.7,68.7,514.71,31.34,19.29,93.69
3194,488.13,64.45,519.61,33.24,23.56,94.67
3198,459.01,56.65,453.37,25.81,19.04,83.65
10,435.48,69.03,472.48,33.16,18.46,77.29
20,546.27,64.61,493.64,26.18,21.3,78.0
26,339.99,66.93,585.28,26.16,20.03,78.16
38,368.85,66.46,518.84,37.94,20.77,84.58
66,510.41,68.72,481.38,29.16,21.86,85.96
71,308.02,71.08,504.4,25.42,23.86,89.45
81,678.44,74.12,472.73,27.79,18.75,78.95
82,505.6,63.68,518.06,51.42,19.28,85.34
98,154.18,65.69,576.36,36.54,20.75,84.85
100,487.74,70.95,512.78,10.55,21.56,82.38
106,505.69,68.39,589.69,26.92,18.48,92.01
116,504.9,67.61,585.74,34.65,22.31,87.77
142,515.31,71.5,467.0,25.5,19.99,94.35
147,416.45,62.63,525.83,43.96,19.81,81.5
151,534.4,66.21,503.15,26.6,21.89,77.08
155,574.36,71.19,513.45,30.07,19.71,77.49
162,479.98,62.68,465.04,26.24,16.68,73.75
177,271.47,67.74,537.07,23.71,19.1,72.98
200,388.67,64.82,526.9,28.24,20.12,89.7
211,363.57,56.53,472.24,38.29,22.42,80.89
213,431.2,70.38,468.07,23.86,18.1,75.25
231,362.83,65.11,591.45,27.08,20.35,78.0
245,449.77,62.29,425.62,31.09,22.94,77.69
252,378.56,66.21,468.26,12.61,20.92,78.86
270,463.82,64.52,486.7,26.8,16.41,62.86
273,235.42,57.36,473.85,30.03,23.57,91.51
277,397.06,66.39,477.2,22.73,21.25,84.79
298,324.99,65.16,465.33,19.26,19.74,71.56
313,437.61,65.77,476.48,30.98,20.5,84.5
316,352.73,66.7,501.32,31.17,16.83,77.82
318,444.57,64.9,468.5,25.43,19.01,70.0
327,442.57,78.9,513.87,28.07,17.73,75.22
332,443.18,70.4,551.81,26.92,20.85,96.47
340,352.46,65.76,457.75,25.73,20.08,72.08
349,444.66,72.26,457.96,30.75,20.91,70.92
353,448.06,59.02,484.03,28.22,18.53,75.11
358,541.71,62.84,512.39,31.39,19.37,83.88
366,301.47,60.21,473.44,39.62,18.05,79.65
396,622.37,70.34,502.36,37.75,20.57,84.46
419,376.07,70.44,450.61,34.94,18.18,71.14
425,550.54,78.42,528.97,20.14,18.91,76.96
433,331.85,69.6,569.01,24.47,18.26,82.19
439,585.03,74.8,514.3,14.46,18.22,71.4
454,237.42,74.04,504.61,26.54,21.58,81.24
488,493.64,72.68,594.61,32.57,20.52,88.06
490,412.35,73.31,470.24,26.79,19.22,69.26
519,544.99,71.27,500.95,33.71,21.2,82.58
522,501.43,63.46,454.14,34.97,20.36,78.85
537,289.71,71.02,497.07,29.8,21.46,77.63
547,471.88,70.24,488.94,29.9,18.96,81.25
552,386.66,63.86,509.32,36.72,21.09,83.69
557,237.49,64.6,445.32,36.1,19.66,67.23
587,202.6,57.45,505.24,32.07,22.91,86.28
591,499.44,71.78,543.88,25.57,21.67,85.85
598,592.37,58.37,495.67,33.62,21.37,85.12
602,371.25,58.63,428.71,36.44,19.53,78.09
638,495.85,61.65,499.69,44.02,22.57,85.61
660,333.84,66.37,515.1,17.86,20.81,76.4
661,431.04,77.89,546.19,11.89,21.06,86.49
664,394.63,61.64,481.93,25.83,19.68,69.98
675,352.29,68.65,488.05,21.31,19.22,76.67
678,596.1,66.7,511.21,12.5,19.75,86.96
684,344.45,58.47,448.17,37.69,20.41,73.9
709,504.91,65.44,502.6,23.69,19.48,87.34
713,555.54,58.34,489.31,31.94,20.38,81.92
735,333.51,71.91,529.79,23.52,20.54,82.38
736,365.65,72.69,529.67,36.92,19.55,92.29
758,627.76,67.94,542.69,30.07,18.54,79.66
762,381.81,66.62,517.36,36.27,18.89,73.43
763,364.44,70.54,540.2,27.71,21.81,86.25
766,363.81,64.94,423.44,24.64,18.7,73.03
772,531.2,61.49,500.21,38.86,20.34,81.53
810,205.73,61.86,449.34,30.13,19.45,80.25
823,515.94,63.37,459.78,31.59,22.56,86.33
841,376.5,59.04,445.96,34.01,21.76,80.98
848,523.56,76.83,476.52,43.31,18.96,71.08
849,430.32,66.13,533.84,30.48,21.6,87.23
859,573.76,65.29,513.49,33.94,18.28,65.83
861,432.61,70.69,476.28,26.33,20.17,68.63
882,482.57,65.99,485.8,21.06,17.87,72.01
885,464.55,63.43,465.97,29.32,20.5,72.7
912,498.64,73.49,479.63,29.71,21.28,77.77
923,485.36,69.31,514.5,32.39,21.54,89.59
930,584.42,67.73,514.98,28.55,18.53,74.58
931,461.03,71.33,501.18,30.5,18.66,77.36
934,433.83,61.06,548.33,29.75,21.48,90.92
935,316.98,66.24,550.63,23.43,22.25,79.43
939,383.27,64.52,511.02,40.13,17.8,79.3
942,589.42,64.83,509.66,38.46,17.68,79.48
949,442.42,62.94,494.39,33.73,19.73,83.24
967,364.99,68.32,562.67,18.43,21.45,85.61
1001,488.53,64.41,503.56,35.78,18.27,72.26
1021,256.21,57.33,562.5,30.81,20.84,73.45
1064,568.72,67.74,569.78,31.73,19.5,105.92
1098,611.68,69.95,430.92,28.38,19.87,72.92
1110,449.36,67.96,507.2,22.94,19.48,78.04
1114,464.0,67.18,414.9,15.96,22.97,85.18
1117,350.01,64.47,481.97,23.61,17.66,81.02
1122,496.72,72.4,458.7,27.26,20.73,69.24
1127,396.57,57.22,457.23,34.31,21.12,71.46
1135,534.49,63.83,458.48,27.93,18.74,82.91
1136,355.47,63.58,439.84,31.29,20.29,80.99
1156,293.34,64.83,514.96,32.47,18.73,70.35
1157,351.59,66.35,498.14,28.06,20.61,83.93
1194,612.63,63.6,402.51,34.57,20.9,71.84
1205,550.56,68.47,500.85,38.24,20.16,88.04
1209,297.21,65.48,514.85,38.35,21.88,88.69
1223,332.28,70.03,539.08,23.67,19.64,73.33
1242,347.87,61.77,495.36,24.23,21.86,83.33
1248,530.17,60.27,465.77,28.88,19.77,68.33
1258,523.63,81.7,460.07,27.54,18.94,87.52
1264,317.73,70.13,515.14,29.17,18.67,92.29
1280,377.06,66.31,424.12,21.13,18.17,76.09
1283,374.94,65.91,406.67,25.05,23.39,88.53
1290,421.45,65.62,525.8,22.66,21.64,83.72
1303,550.38,69.7,554.95,26.81,22.21,88.3
1321,386.63,75.17,430.84,20.51,20.53,69.46
1344,428.3,62.48,533.91,30.0,18.36,78.04
1347,401.47,62.18,452.69,30.5,20.38,74.3
1358,353.22,60.82,466.96,39.44,17.78,77.45
1392,384.65,74.13,569.68,34.61,19.88,74.57
1400,463.17,70.94,503.66,31.02,21.14,82.88
1404,437.73,65.33,451.23,25.86,17.41,67.72
1414,371.92,62.64,484.28,24.47,22.46,75.14
1448,334.79,65.07,570.33,34.9,21.62,99.37
1453,415.43,60.57,529.19,23.14,17.79,76.01
1468,206.37,77.31,576.83,31.17,19.31,84.17
1475,598.02,64.56,478.78,23.19,22.22,86.33
1478,475.27,69.61,482.11,16.86,19.89,83.65
1490,391.07,65.8,511.32,27.05,19.88,78.44
1507,376.25,74.07,572.94,35.97,19.06,78.1
1514,309.97,67.41,455.52,33.66,19.59,75.91
1515,486.91,72.02,513.41,19.91,17.59,84.96
1521,387.64,61.89,459.84,32.14,19.32,81.2
1549,411.56,75.24,481.69,31.94,17.56,67.35
1561,415.69,68.98,503.1,32.34,21.66,78.02
1576,432.09,70.46,602.46,20.95,16.88,76.83
1587,363.97,68.75,524.55,24.88,19.62,86.23
1590,445.43,68.31,549.83,22.78,21.56,89.39
