ID,Idade,Renda,Regiao,Genero,seguro auto,seguro vida Emp,seguro vida PF,Seguro Residencial,Investimento Fundos_cambiais,Investimento Fundos_commodities,Investimento LCI,Investimento LCA,Investimento Poupanca,Investimento Fundos Multimercado,Investimento Tesouro Direto,Financiamento Casa,Financiamento Carro,Emprestimo _pessoal,Emprestimo _consignado,Emprestimo _limite_especial,Emprestimo _educacao,Emprestimo _viagem,Investimento CDB,Investimento Fundos,RECOMMENDATION_1,CONFIDENCE_1,RECOMMENDATION_2,CONFIDENCE_2,RECOMMENDATION_3,CONFIDENCE_3
1004.0,40.685,8474.687,CO,1.0,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,T,F,T,F,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
1028.0,56.693,7996.353,SE,0.0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1034.0,49.413,8624.335,NE,0.0,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
1035.0,22.764,6885.196,S,1.0,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1039.0,22.059,7749.965,NE,1.0,T,T,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
1048.0,56.736,6430.391,CO,1.0,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1067.0,60.131,8517.631,CO,1.0,F,F,F,F,F,T,F,F,F,T,T,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
1068.0,43.942,8462.347,CO,1.0,F,F,F,F,T,F,F,F,T,T,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
1085.0,43.369,8142.529,SE,1.0,F,T,F,T,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,T,seguro auto,0.8913824057450629,seguro vida PF,0.8913824057450629,,
1092.0,40.664,8082.479,CO,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1094.0,23.826,7558.996,NE,1.0,F,T,T,T,T,T,T,T,T,T,T,T,F,F,T,F,F,T,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1116.0,23.067,8017.511,NE,1.0,F,F,F,F,T,F,F,T,F,F,F,F,T,F,F,F,F,T,F,F,Investimento Fundos_commodities,0.8018348623853211,Investimento LCI,0.8018348623853211,,
1119.0,21.557,7477.476,N,1.0,F,T,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,F,,,,,,
1127.0,46.051,8685.551,S,0.0,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,Investimento CDB,0.8190309398715704,,,,
1132.0,32.248,9161.201,S,1.0,T,T,T,T,F,F,F,F,T,F,F,T,T,T,T,T,F,T,F,F,Emprestimo _consignado,0.956882255389718,,,,
1177.0,50.909,7200.431,CO,1.0,T,T,T,T,F,F,T,F,F,T,F,T,T,T,T,T,F,F,F,T,Emprestimo _consignado,0.956882255389718,,,,
1194.0,40.918,7333.91,SE,1.0,F,T,F,F,T,T,T,F,F,F,T,F,F,F,F,F,T,T,T,T,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
1198.0,35.666,7167.777,S,1.0,T,T,T,T,F,F,F,F,F,F,F,T,T,T,T,T,T,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1198.0,35.666,7167.777,S,1.0,T,T,T,T,T,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
1198.0,50.695,7636.149,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,,,,,,
1198.0,50.695,7636.149,NE,1.0,F,F,F,F,T,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,,,,,,
1198.0,35.666,7167.777,S,1.0,T,T,T,T,T,F,F,F,F,F,T,T,T,T,T,T,T,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1198.0,50.695,7636.149,NE,1.0,F,F,F,F,T,F,F,F,F,F,T,T,T,T,T,T,T,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1198.0,50.695,7636.149,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1198.0,35.666,7167.777,S,1.0,T,T,T,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
1210.0,45.278,6714.432,NE,1.0,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,,,,,,
1217.0,56.385,7139.874,CO,0.0,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,Investimento Fundos_commodities,0.8044794188861986,,,,
1239.0,68.019,7925.655,SE,0.0,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1256.0,31.028,10312.052,SE,0.0,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,Investimento Fundos_commodities,0.8044794188861986,,,,
1264.0,52.149,8329.85,S,0.0,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,,,,,,
1280.0,42.927,8097.705,SE,0.0,F,T,F,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,T,F,,,,,,
1284.0,33.612,8206.464,NE,0.0,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F,F,F,T,F,F,,,,,,
1320.0,42.747,6429.209,S,1.0,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,T,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1321.0,25.354,7946.824,SE,0.0,T,T,T,T,F,F,F,T,F,F,F,T,T,T,T,T,F,F,T,F,Emprestimo _consignado,0.956882255389718,,,,
1340.0,31.478,7627.337,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,T,Investimento CDB,0.8779310344827587,,,,
1357.0,22.048,8243.058,SE,1.0,F,F,F,F,F,T,F,T,T,F,F,F,T,T,F,F,F,F,T,T,Investimento Fundos_cambiais,0.9205052005943536,Investimento LCI,0.9205052005943536,,
1371.0,27.084,8434.052,NE,1.0,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1376.0,53.578,6856.32,S,1.0,F,F,F,F,T,T,T,T,T,T,T,F,F,T,F,F,F,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1376.0,50.08,7207.218,SE,1.0,T,T,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
1376.0,50.08,7207.218,SE,1.0,T,T,T,T,T,T,T,T,T,T,T,F,F,T,F,F,F,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1376.0,53.578,6856.32,S,1.0,F,F,F,F,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1376.0,53.578,6856.32,S,1.0,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1376.0,53.578,6856.32,S,1.0,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,,,,,,
1376.0,50.08,7207.218,SE,1.0,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1376.0,50.08,7207.218,SE,1.0,T,T,T,T,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
1387.0,47.944,7779.524,CO,1.0,F,F,F,F,T,T,T,T,T,T,T,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1394.0,33.486,7445.469,S,1.0,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
